sequence_key,Time,Interval,Min op-reachability (%),Max op-reachability (%),Avg op-reachability (%),Min in-octets (kbit/s),Max in-octets (kbit/s),Avg in-octets (kbit/s),Min in-utilization (%),Max in-utilization (%),Avg in-utilization (%),Min in-errors (%),Max in-errors (%),Avg in-errors (%),Min in-discards (%),Max in-discards (%),Avg in-discards (%),Min out-octets (kbit/s),Max out-octets (kbit/s),Avg out-octets (kbit/s),Min out-utilization (%),Max out-utilization (%),Avg out-utilization (%),Min out-errors (%),Max out-errors (%),Avg out-errors (%),Min out-discards (%),Max out-discards (%),Avg out-discards (%)
256169871,2024-02-28 22:50:00,2432752,,,,0.0,,,,,,,0.0,,,0.0,,,27.32782014415012,2.7425235358782585,,,,0.0,,,,0.0,
256169871,2024-02-28 22:55:00,16415083,100.0,100.0,100.0,,24.335330030594598,,,,,0.0,0.0,0.0,,,0.0,,29.054889187077265,,,,,0.0,0.0,0.0,0.0,,
256169871,2024-02-29 01:51:42,12172644,100.0,100.0,,0.0,13.136323914351303,4.109873695583562,,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,0.0,
256169871,2024-02-29 07:41:41,29700000,,100.0,,,,,,,,0.0,0.0,0.0,,,,7.113291390652477,40.4746907655575,2.840227038629899,,,,0.0,,,,0.0,
256169871,2024-02-29 08:51:39,300000,,,100.0,,23.652863489783684,2.7759285651846857,,,,0.0,,,,,0.0,0.0,12.230511951476508,,,,,0.0,,0.0,0.0,0.0,
256169871,2024-02-29 16:09:30,18840434,100.0,,,,12.506753040823426,,,,,,,,,,0.0,,24.901786662622488,5.546448753752838,,,,0.0,0.0,,0.0,,0.0
256169871,2024-03-01 00:34:30,18212925,100.0,100.0,100.0,5.0023799784055045,16.77280681901826,,,,,,0.0,0.0,0.0,,,,58.430164681745985,0.0149592257215576,,,,0.0,0.0,,0.0,,0.0
256169871,2024-03-01 04:30:04,27792095,100.0,,100.0,,7.352113904116275,2.146826421313067,,,,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,,0.0
256169871,2024-03-01 11:17:00,29700000,100.0,100.0,100.0,,,3.5195982557562018,,,,,,,0.0,,,2.2632895306539127,20.849893871017258,3.3539055832257127,,,,,,0.0,,0.0,0.0
256169871,2024-03-01 11:59:09,21861159,,100.0,,0.0,,,,,,,0.0,,0.0,,,0.0,28.72784436635237,,,,,,0.0,0.0,,0.0,0.0
256169871,2024-03-01 18:03:46,25896228,,100.0,,,,3.0363963259671563,,,,,0.0,0.0,0.0,0.0,0.0,1.02328210448808,25.557162125303837,8.051760051409257,,,,0.0,,0.0,0.0,,0.0
256169871,2024-03-01 21:59:20,6819382,100.0,,100.0,0.2025147495257165,,,,,,0.0,0.0,0.0,0.0,0.0,,,17.539993124242844,6.29018744504439,,,,,0.0,0.0,,,0.0
256169871,2024-03-02 03:00:50,16862822,,,100.0,1.9883124308102234,,3.4651696730028285,,,,,0.0,0.0,,,,0.0,44.017262661936286,,,,,,,0.0,0.0,0.0,0.0
256169871,2024-03-02 11:25:50,19014471,,,100.0,,10.72169621385968,4.13900803490903,,,,0.0,,0.0,0.0,,,3.6217740959896942,44.68805899063281,8.844404407924554,,,,,0.0,,0.0,,0.0
256169871,2024-03-02 11:30:50,300000,100.0,100.0,100.0,2.002381871261898,,,,,,,0.0,,0.0,,0.0,,36.93833481322824,4.150776464281936,,,,,0.0,0.0,0.0,0.0,
256169871,2024-03-02 15:26:25,29700000,100.0,100.0,,,,4.496096556014987,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,,0.0,
256169871,2024-03-02 23:37:34,300000,,100.0,,,,2.885229511499837,,,,,0.0,0.0,0.0,0.0,0.0,3.5934482374766215,,7.359291329756027,,,,,,0.0,0.0,0.0,0.0
256169871,2024-03-03 06:57:59,15614067,100.0,100.0,100.0,1.393109560077827,,,,,,0.0,0.0,,,0.0,,,,8.098875813936113,,,,0.0,,0.0,0.0,,
256169871,2024-03-03 10:53:34,11906657,,,100.0,3.466233014304679,,,,,,,0.0,,,0.0,0.0,4.812765604025482,,8.514602345672557,,,,,0.0,,0.0,0.0,
256169871,2024-03-03 13:57:38,9718524,100.0,100.0,100.0,0.0,9.801982977143382,5.788318012213436,,,,0.0,,0.0,,,,3.6740702422877485,36.03627129419482,,,,,0.0,0.0,,,0.0,0.0
256169871,2024-03-03 17:36:23,15613359,,,,,20.074645449295552,5.038516573567183,,,,0.0,,0.0,,,0.0,0.0,34.89996573210835,3.4223809871341424,,,,,0.0,,0.0,0.0,
256169871,2024-03-03 22:10:15,16075435,100.0,,100.0,,5.552907448159905,3.7823394611359604,,,,,0.0,0.0,0.0,,,1.5115421934730353,32.27370625721888,3.4227087932106386,,,,0.0,0.0,0.0,,,
256169871,2024-03-04 05:00:41,16177261,100.0,100.0,100.0,,,2.975447778455225,,,,,,0.0,,,0.0,,,14.109813102811259,,,,0.0,0.0,0.0,0.0,0.0,0.0
256169871,2024-03-04 06:38:50,9912981,,,100.0,0.0,16.50456810680603,4.00654543317582,,,,,0.0,,0.0,0.0,0.0,1.6320943323973593,27.921412303289326,15.218914701713118,,,,,0.0,0.0,0.0,,
256169871,2024-03-04 11:47:48,2935906,100.0,,,0.9587166179274993,16.363235830341203,2.021921676162404,,,,0.0,,0.0,0.0,0.0,0.0,,,13.366973902006553,,,,,0.0,,,,0.0
256169871,2024-03-04 11:52:48,17228850,100.0,,,,10.96234251714608,1.7821721539223234,,,,0.0,,0.0,,,0.0,0.0,23.861205012360582,,,,,,0.0,0.0,0.0,,0.0
256169871,2024-03-04 20:17:48,3091483,100.0,100.0,,1.4850627881641751,,5.618096012803252,,,,0.0,,0.0,0.0,,,1.3232617842390768,,8.6590185848668,,,,,,0.0,,0.0,0.0
256169871,2024-03-05 00:31:18,12621956,,,100.0,,8.424950842790201,2.6554983570728257,,,,0.0,,0.0,,,0.0,0.0,,,,,,0.0,0.0,,,,
256169871,2024-03-05 04:24:07,13199719,100.0,,100.0,0.0,,2.221285964370768,,,,,0.0,,0.0,,,,,7.603789271438118,,,,0.0,,,0.0,,0.0
256169871,2024-03-05 07:01:57,29700000,100.0,,,,12.925424022651164,,,,,,,0.0,0.0,0.0,0.0,0.0,30.843711892028484,5.926436765285066,,,,0.0,0.0,,0.0,,
256169871,2024-03-05 07:06:57,14420328,100.0,100.0,100.0,0.3449217607614562,,2.498158029913795,,,,,,0.0,0.0,0.0,0.0,4.322412082237386,49.46336790502909,,,,,0.0,,0.0,,,
256169871,2024-03-05 15:31:57,29700000,,,100.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,,19.548790029182193,5.923032596756691,,,,0.0,0.0,,0.0,,
256169871,2024-03-05 18:49:00,7422079,,100.0,,0.0,,3.340058996163858,,,,0.0,0.0,0.0,,0.0,,,30.171333861965135,,,,,0.0,0.0,,,,0.0
256169871,2024-03-05 22:23:02,11691133,,100.0,,,,1.730169333341594,,,,,0.0,0.0,0.0,0.0,0.0,,,2.640893524018927,,,,0.0,,0.0,,,0.0
256169871,2024-03-06 02:15:41,300000,,100.0,100.0,0.0,8.177616095027268,2.458238228543792,,,,0.0,,0.0,0.0,0.0,,5.704988886455609,28.379605860206578,,,,,,,0.0,,,0.0
256169871,2024-03-06 10:40:41,1329357,,,100.0,,6.939527026119028,,,,,0.0,,0.0,0.0,0.0,,,12.817781264484765,,,,,,,0.0,0.0,,
256169871,2024-03-06 11:26:04,10088499,100.0,,100.0,0.27295664109701795,10.909774366793751,2.902241801496678,,,,0.0,0.0,0.0,,0.0,0.0,,,1.3304802107618787,,,,,,0.0,,,
256169871,2024-03-06 13:37:45,3667507,100.0,,100.0,,8.921414694543095,4.935296794565247,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,5.631398203957762,,,,,0.0,0.0,,0.0,0.0
256169871,2024-03-06 18:36:43,29700000,,100.0,100.0,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,1.9835850301621685,,,,,,0.0,,0.0,0.0
256169871,2024-03-06 22:33:36,300000,,,,0.0,,1.8883614494902319,,,,,,0.0,,0.0,0.0,2.5769520258813565,,,,,,0.0,0.0,0.0,0.0,,0.0
256169871,2024-03-07 04:20:01,2718145,100.0,,,0.0,19.679595771858235,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,0.0
256169871,2024-03-07 06:04:20,20532620,100.0,,,,14.89958123072698,,,,,0.0,,,0.0,,,,33.607275373005514,8.371862932135627,,,,0.0,,0.0,0.0,0.0,
256169871,2024-03-07 08:33:49,29700000,,,,1.262325400370238,0.7806738565954312,,,,,0.0,0.0,0.0,0.0,0.0,,2.1566414037912183,41.80372911645195,13.250073858030714,,,,,0.0,0.0,0.0,0.0,0.0
256169871,2024-03-07 12:29:24,300000,,100.0,100.0,0.0028536513979596223,,2.2577840855577627,,,,,0.0,0.0,,,0.0,0.0,32.889384343575664,2.9340240415369965,,,,0.0,,0.0,0.0,,0.0
256169871,2024-03-07 15:46:52,14347624,,,,,7.722653768915467,,,,,,0.0,0.0,0.0,0.0,,1.949830165182398,30.178847719273456,,,,,,,,,0.0,
256169871,2024-03-07 15:51:52,25339736,100.0,100.0,,0.20933494480442516,13.364191396427774,4.222443369445106,,,,,,0.0,,0.0,0.0,1.7303279556085016,21.17146817301711,2.2992763624204873,,,,,,,0.0,,0.0
256169871,2024-03-07 15:56:52,22868277,100.0,,100.0,,22.542994188295147,4.143024431283645,,,,,0.0,0.0,,0.0,,0.0,22.00002500759759,,,,,,,0.0,,,0.0
256169871,2024-03-07 16:01:52,3928959,,,100.0,0.8854718991096395,21.688743538351623,,,,,,,,0.0,0.0,,0.0,30.09741005607739,5.300366436620011,,,,0.0,,0.0,,0.0,
256169871,2024-03-07 19:04:05,18334391,,,100.0,0.9350765996229422,14.5506090086047,5.127903433263751,,,,,,0.0,0.0,0.0,0.0,0.0,34.70136713299499,,,,,0.0,,0.0,,,0.0
256169871,2024-03-07 20:02:57,27459939,,100.0,100.0,,24.684157287460643,3.809700709423838,,,,,,,0.0,0.0,,,24.792720429356805,6.241376484157176,,,,0.0,0.0,,0.0,,0.0
256169871,2024-03-08 00:13:23,13245029,100.0,100.0,100.0,2.3443688925832484,14.508220606690644,4.260567426768813,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,
256169871,2024-03-08 02:42:33,22964630,100.0,100.0,100.0,0.21590662485648898,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,30.949052282780798,,,,,0.0,,0.0,,0.0,0.0
256169871,2024-03-08 06:38:08,19072221,,100.0,,,,3.171614017699767,,,,,0.0,0.0,0.0,0.0,,4.4471430299387285,,3.218699039693811,,,,0.0,0.0,0.0,0.0,,0.0
256169871,2024-03-08 15:03:08,9223857,100.0,100.0,100.0,4.596078159784011,9.3614248680837,1.6985042524815692,,,,,,,,0.0,,,,,,,,0.0,,,,,
256169871,2024-03-08 17:06:15,29700000,100.0,100.0,,0.7056336047692723,,,,,,,0.0,,,0.0,,,19.003765336889003,,,,,0.0,,,,0.0,
256169871,2024-03-08 22:09:07,18896735,100.0,100.0,100.0,,,4.577607341138645,,,,,0.0,0.0,0.0,,0.0,0.0,14.256943954531856,,,,,0.0,,0.0,0.0,0.0,0.0
256169871,2024-03-09 05:15:07,25988896,,100.0,,,,4.166320749574035,,,,,,0.0,0.0,,0.0,1.7617285931434128,28.74519187753763,5.014908359893119,,,,0.0,,0.0,,,
