Time,Interval,Min op-reachability (%),Max op-reachability (%),Avg op-reachability (%),Min in-octets (kbit/s),Max in-octets (kbit/s),Avg in-octets (kbit/s),Min in-utilization (%),Max in-utilization (%),Avg in-utilization (%),Min in-errors (%),Max in-errors (%),Avg in-errors (%),Min in-discards (%),Max in-discards (%),Avg in-discards (%),Min out-octets (kbit/s),Max out-octets (kbit/s),Avg out-octets (kbit/s),Min out-utilization (%),Max out-utilization (%),Avg out-utilization (%),Min out-errors (%),Max out-errors (%),Avg out-errors (%),Min out-discards (%),Max out-discards (%),Avg out-discards (%),Avg op-reachability (%)_check,Avg op-reachability (%)_consistent,Avg in-octets (kbit/s)_check,Avg in-octets (kbit/s)_consistent,Avg in-utilization (%)_check,Avg in-utilization (%)_consistent,Avg in-errors (%)_check,Avg in-errors (%)_consistent,Avg in-discards (%)_check,Avg in-discards (%)_consistent,Avg out-octets (kbit/s)_check,Avg out-octets (kbit/s)_consistent,Avg out-utilization (%)_check,Avg out-utilization (%)_consistent,Avg out-errors (%)_check,Avg out-errors (%)_consistent,Avg out-discards (%)_check,Avg out-discards (%)_consistent
2024-03-04 15:54:03,26803802,100.0,100.0,,,2.576857776054,,0.0002335368281625,0.0238684542768272,,0.0,0.0,,,,,0.057126982675,,,9.931006005859576e-05,,0.0063385921580968,0.0,0.0,0.0,0.0,0.0,,100.0,False,,True,0.01205099555249485,False,0.0,False,,True,,True,,False,0.0,True,0.0,False
2024-04-30 17:26:16,27014649,100.0,,,0.045314238988,,0.5489804092581413,0.0005722213107083,0.0262303379642674,,,,0.0,0.0,,0.0,0.053567029506,3.471953094454,,,,,0.0,0.0,0.0,,,0.0,,True,,False,0.013401279637487851,False,,False,,False,1.76276006198,False,,True,0.0,True,,False
2024-03-25 14:18:30,26892647,,100.0,100.0,,2.695052386636,,0.0001006066039578,0.0271134984325292,0.0049069843950848,,,,,0.0,0.0,0.069822852811,,0.6237284025896244,0.0002021895654198,0.0287548407070163,0.0067659277260532,0.0,,,0.0,0.0,0.0,,False,,True,0.0136070525182435,False,,True,,False,,False,0.01447851513621805,False,,True,0.0,True
2024-04-24 17:19:35,27504706,100.0,100.0,,0.010506373864,,0.5073505876143155,0.0,0.0377680650154989,,,0.0,0.0,,,,0.001074202186,3.975168046215,,0.0,0.035412303258581,0.0067549781580109,,0.0,0.0,,,0.0,100.0,False,,False,0.01888403250774945,False,,False,,True,1.9881211242005,False,0.0177061516292905,False,,False,,False
2024-04-19 15:58:31,29653096,100.0,,,,2.487689820709,0.539322980544542,0.0001452838058464,0.0237607543991277,,0.0,0.0,,0.0,0.0,,0.007358897914,,0.6614977730853544,0.0,,0.0064739910962072,0.0,,,,,0.0,,True,,False,0.01195301910248705,False,0.0,False,0.0,False,,False,,False,,True,,False
2024-04-30 08:51:53,28848525,,100.0,100.0,0.033431273395,4.068985713873,,0.0,,,0.0,,,0.0,,0.0,,,0.6699298292337712,0.0003232355272699,0.0372554502848652,,0.0,0.0,,0.0,,,,False,2.0512084936340003,False,,True,,True,,False,,False,0.01878934290606755,False,0.0,False,,True
2024-04-26 01:51:54,26278171,,,,,4.854395383615,,,0.0449230540139761,,,,0.0,0.0,0.0,,,3.004405014732,0.8320065575792166,0.0,0.0289896865401022,0.007662443125138,0.0,,,0.0,0.0,0.0,,True,,True,,True,,False,0.0,False,,False,0.0144948432700511,False,,True,0.0,True
2024-04-05 16:36:07,28010566,,,100.0,0.054266613083,,0.5646595514280301,0.0007260663641016,0.0263344758858925,,0.0,,0.0,0.0,,,0.004632243355,,,,0.0322258020164207,,,,0.0,0.0,,0.0,,False,,False,0.013530271124997051,False,,False,,True,,True,,True,,False,,False
2024-04-11 16:55:31,28830064,,,100.0,0.026225701361,,0.5444374367186894,2.0077651731156745e-06,,0.0063248919170215,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0077585038345517,0.0,,,,,,,False,,False,,False,0.0,True,,False,,True,,False,,True,,True
2024-04-27 22:29:35,28398587,,100.0,100.0,,2.559975998033,,0.0001567180291081,,0.0047320692748591,0.0,,0.0,,,0.0,,,0.6264617989748011,,0.0301957786326278,,,0.0,0.0,0.0,0.0,0.0,,False,,True,,False,,False,,False,,False,,True,,False,0.0,True
2024-04-23 12:42:17,29653096,100.0,100.0,100.0,0.040237116728,2.442318698441,0.4801292501807603,,0.0251731060045481,0.0063019078915913,,,,0.0,0.0,0.0,,2.887205154073,0.6581418210664495,0.000267060648366,0.0302959255902641,,,,0.0,,,0.0,100.0,True,1.2412779075845,False,,False,,True,0.0,True,,False,0.01528149311931505,False,,False,,False
2024-04-26 20:33:23,28954827,100.0,,100.0,0.0,,0.2675788802008496,,,0.0041630027677317,,,0.0,0.0,0.0,0.0,,,0.2437751523461993,0.0,0.0253631445715442,,0.0,,,0.0,,0.0,,False,,False,,False,,False,0.0,True,,False,0.0126815722857721,False,,True,,False
2024-04-18 16:59:26,26073118,,100.0,100.0,,,,0.0002796541641166,0.0272048361824569,0.0059535553121778,0.0,,0.0,,,,0.0,3.482080988341,0.6567464067194841,,0.0321823823619729,0.0063138094068825,0.0,,0.0,,,0.0,,False,,True,0.01374224517328675,False,,False,,True,1.7410404941705,False,,False,,False,,False
2024-04-23 16:20:11,26757239,,,100.0,0.006693542407,,,,0.0651351837568445,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0083519457907786,,,0.0,0.0,0.0,,,False,,True,,True,,False,0.0,True,,True,,False,,False,0.0,False
2024-04-30 09:18:00,28472706,,,100.0,,,0.5683775369493567,,,,0.0,,0.0,0.0,0.0,,0.054613228847,,0.6622207464505928,0.0,,0.0065680930065685,,0.0,,0.0,0.0,0.0,,False,,False,,True,,False,0.0,False,,False,,False,,True,0.0,True
2024-04-04 16:54:21,27190093,,,100.0,,,0.3261898247434502,7.283937912662527e-05,0.0023536834720958,,0.0,0.0,,0.0,0.0,,0.002465526256,1.777002603115,0.2479061362334112,0.0,,0.006122421903998,,,,0.0,,0.0,,False,,False,0.0012132614256112127,False,0.0,False,0.0,False,0.8897340646855,False,,False,,True,,False
2024-03-24 07:35:02,27942337,100.0,,100.0,0.039707309347,,0.5178111513194981,,,,0.0,,,,0.0,,0.052230260318,2.415547730021,,0.0004559816689019,0.0315952875412511,0.0063428521451066,0.0,0.0,,,,,,False,,False,,True,,True,,True,1.2338889951695,False,0.0160256346050765,False,0.0,False,,True
2024-03-08 00:31:25,27626532,,100.0,100.0,,2.614699351826,,0.0003375176643099,0.0247445810587753,,0.0,0.0,,,,0.0,0.0,3.358345756136,,0.0004168907905177,,,0.0,0.0,0.0,0.0,,0.0,,False,,True,0.0125410493615426,False,0.0,False,,False,1.679172878068,False,,True,0.0,True,,False
